id,username,created_at,lng,lat,text
1517722928460169217,Straticus2,Sat Apr 23 04:31:58 +0000 2022,-116.5172895,33.8250795,"@S3333Angel Lol! I've NEVER known anyone braver or more courageous than a mad, sassy drag queen :) Throwing shade i… https://t.co/ilmbW1oriT"
1517722928737046528,MekaPye100,Sat Apr 23 04:31:58 +0000 2022,-83.8312995,34.3006325,@your_Mr_Wright Most grown women have robes
1517722928279740416,BlackTravelBae,Sat Apr 23 04:31:58 +0000 2022,-115.173501,36.109475,"The fact that you all pay attention to the things I like, and first date gifts are continuing to get better. 😫🥰 I h… https://t.co/XZWbosu9Ud"
1517722927726317570,BAOSPodcast,Sat Apr 23 04:31:58 +0000 2022,-79.9195185,43.832313,"Easily, some of the dopest and most consistent beers brewed in this fine country come out of Ontario’s… https://t.co/cP508mA5nn"
1517722929156435968,UpIrony,Sat Apr 23 04:31:58 +0000 2022,-118.4119065,34.0207895,Can’t stop the feeling 🍄 🍄 @deadheads_nft #skulltrooper #deadheads https://t.co/OZACNixte6
1517722932604190720,ChrisSmithATC,Sat Apr 23 04:31:59 +0000 2022,-89.87644900000001,32.571032,@TreemanFreeman gonna need to trade that drum stick for a spatula! 🥞🥞🥞
1517722932759441408,BobbyTheBluesMa,Sat Apr 23 04:31:59 +0000 2022,-94.875906,39.072262,@Simone6516 @LordLP89 @DrLylePLysol I am an aspiring blues guitar player and singer and spend much of my spare time… https://t.co/6csQd70EMK
1517722937343848450,ampersamp,Sat Apr 23 04:32:00 +0000 2022,-97.754724,30.323345500000002,@marcmaron @ParamountAustin @MoontowerComedy Great set! I work in public health so THANK YOU for your vaccine bit!… https://t.co/mKX8r9rcHG
1517722937205440515,QuincyNelson,Sat Apr 23 04:32:00 +0000 2022,-81.6988865,28.0173055,@Andie00471 My son on the right earned his Eagle Scout. My daughter in the middle earned her Gold Award (it’s the G… https://t.co/sAI1yyNHLh
1517722938966958081,YNOTngl,Sat Apr 23 04:32:01 +0000 2022,-73.97719029,40.76149865,#banksy lets save her. #ynotngl @ MoMA The Museum of Modern Art https://t.co/CItuITy6qw
1517722939927400448,John68Richmond,Sat Apr 23 04:32:01 +0000 2022,-123.6645375,49.4611975,Sam Sullivan says folks with substance use challenges need community supports/ interventions then get out of the way #disabilityawareness
1517722940804149248,Michael26414236,Sat Apr 23 04:32:01 +0000 2022,-82.36273249999999,27.709769,You suck on all levels Lola Mr. Bird I think about you taking orders from a Barack Obama you racist piece of s***
1517722941777195009,amERICanHog,Sat Apr 23 04:32:01 +0000 2022,-92.13127399999999,34.7519365,@SteakhouseWPS @dustyslay He’ll blow up after being on Netflix. I love watching them grow
1517722943333502976,Leonard68823225,Sat Apr 23 04:32:02 +0000 2022,-74.42890650000001,40.5012355,@CherchezLaPorsh @SUPERB is DJ MR LEN on RAWKUS RECORDS (Casera DJ) DeadlyVenoms PAT STEELE #WEDONTNEEDNOHOOK SHAQs… https://t.co/nQoRjig2Jg
1517722944193052672,diciembresietee,Sat Apr 23 04:32:02 +0000 2022,-95.44648649999999,29.838495,I hate going to the rr when I’m drunk and realizing I’m drunk
1517722943169564673,Choreogerapher1,Sat Apr 23 04:32:02 +0000 2022,-77.0143985,38.898602999999994,"@CEOSONSON doing a #moodswingsmakeoverchallenge #moodswings #challenge #makeover get wit dis and show you a ""Boss b… https://t.co/e1rOvxU0LK"
1517722946458030080,UrsineNoir,Sat Apr 23 04:32:03 +0000 2022,-77.0143985,38.898602999999994,This is giving very much “rooftop day party EVERY Saturday this summer.”……………and Sunday.
1517722946747392000,pupsMama7,Sat Apr 23 04:32:03 +0000 2022,-83.804475,27.698681999999998,@Gr3Te4rights @CabalClair @everhopeful2009 @operadame @HeatherBlatta @rjkroupa @AweThatSparkle @CRodia19116… https://t.co/FEYO65pbBH
1517722948299223040,DevilPhx,Sat Apr 23 04:32:03 +0000 2022,-112.12467649999999,33.5528625,Torrey Craig is a shifty player and should not be on the court.
1517722951025573888,JFrankleKSC,Sat Apr 23 04:32:04 +0000 2022,-80.7318815,28.313804,Think the IRS just yeeted most of my tax return 🙄
1517722952099188736,StudioV1k1,Sat Apr 23 04:32:04 +0000 2022,-121.9516095,36.974948499999996,@CryptoStorm__ Amen to that 🙏 boycott dating apps ✊
1517722952195739648,alicialuvssfg,Sat Apr 23 04:32:04 +0000 2022,-121.469664,38.561722,"@teto10_6 Also my first game last season was dodgers giants at the dodgers, in the beginning of the year, and the d… https://t.co/h6xSj2Fm9P"
1517722952158126081,big_mich_energy,Sat Apr 23 04:32:04 +0000 2022,-87.732013,41.8335845,"I know I’m a menace to society, because when I started working at my new bar, I was confused that this hot man didn… https://t.co/8uCZfHHALT"
1517722952896180224,kushibo,Sat Apr 23 04:32:04 +0000 2022,-119.30660750000001,37.2691755,"@anxhyn If people give me crap about wearing a mask, I’ll tell them it’s for their protection because I have Zika."
1517722953328128000,ciaranavarro_,Sat Apr 23 04:32:04 +0000 2022,-105.12331950000001,39.685852,I cannot get over the @blankemusic remix to Walk Me Home 😭😭😭😭😭
1517722953651159040,kingkelechi63,Sat Apr 23 04:32:04 +0000 2022,-118.75462999999999,34.1470785,imma need my bawls sucked 🐣💯
1517722955072958465,PrellersBurner,Sat Apr 23 04:32:05 +0000 2022,-117.104989,32.810012,I don’t feel great about our bats after seeing tonight.. even with Bebo back… At least our starting pitching is “el… https://t.co/cgGo3Rk1Wq
1517722955811151872,EscobarAiello,Sat Apr 23 04:32:05 +0000 2022,-122.4359785,37.7706565,@polyesthercloth This looks like one of the thumb security guards from spy kids 1 quit his job as a henchman for a… https://t.co/himt7dNE6O
1517722957208076288,pacorayones,Sat Apr 23 04:32:05 +0000 2022,-100.1687175,25.778679,Cobardes
1517722957031911424,carlostpa10,Sat Apr 23 04:32:05 +0000 2022,-73.9685415,40.780709,@MGL142 Do it the more rowdies the better 💚💛 https://t.co/raPtEI8VvD
1517722957124182016,hrbekroenick,Sat Apr 23 04:32:05 +0000 2022,-93.2050555,45.165333000000004,@AgarWoodCapital @blind_nut @SullyBusiness And I got into a job where I learned a lot and provided value. My bigges… https://t.co/Qnps8cowLY
1517722958692716544,BrahinHB,Sat Apr 23 04:32:05 +0000 2022,-117.9987325,33.692542,Love that Lux hustle to first
1517722958743048192,Leehah88,Sat Apr 23 04:32:05 +0000 2022,-116.546059,33.90492,Im sleepy af
1517722960382947328,2xShakur,Sat Apr 23 04:32:06 +0000 2022,-122.2286855,37.791994,The Gods definitely be showing up and out for ya boy lately! ☀️🌅🙏🏾 #THOROUGH https://t.co/q9nOP15x1K
1517722964954812417,hawkeyblog,Sat Apr 23 04:32:07 +0000 2022,-122.630908,45.536402,I love you @WHLGiants
1517722968880689152,ctschoolsucla,Sat Apr 23 04:32:08 +0000 2022,-117.104989,32.810012,@LA_StudentsDsrv organizer &amp; CTS undergraduate researcher @lilbit_lila &amp; CTS doctoral researcher @MiguelECasar bega… https://t.co/jir2n0zJwJ
1517722970206126080,JaniceNightowl,Sat Apr 23 04:32:08 +0000 2022,-93.6063695,41.5764375,@pulte My notifications are on; I am reTweeting.
1517722968834678786,LustRashad,Sat Apr 23 04:32:08 +0000 2022,-80.13296249999999,25.816965500000002,Plan b “My pussy the most expensive meal you’ll ever eat”🍉🍀” https://t.co/4gZTmp3bcb
1517722970562646017,DeadSilanceTV,Sat Apr 23 04:32:08 +0000 2022,-75.77004099999999,42.746617,@NoLifeShaq  You should listen to artist called Sha Mula trust me you wont regret it...Hopefully you see this bro  https://t.co/e5WSLMN0FU
1517722971120357377,ChrisGullette_,Sat Apr 23 04:32:08 +0000 2022,-122.4359785,37.7706565,@JeffShotts1 @dlseuss @GraywolfPress Such fantastic news! Thrilled for Diane and this extraordinary book!
1517722971279925248,ZachFromTexas,Sat Apr 23 04:32:08 +0000 2022,-97.754724,30.323345500000002,First date with @NickGothardVA:We watched Fiddler on the Roof
1517722975885316097,DaddioPurple,Sat Apr 23 04:32:10 +0000 2022,-89.2665075,39.7393005,@RobertKSUfan This was in the old days where you could drive at 14 in Kansas.  I was 19 looking like a 14 yo.
1517722978322165760,VincentMTiberi,Sat Apr 23 04:32:10 +0000 2022,-79.741517,39.895677,"Ugghhhh… hate admitting this, but been bumping the Eagles pretty hard here lately 🦅"
1517722978657595392,simerip,Sat Apr 23 04:32:10 +0000 2022,-112.3152115,33.4392955,Great perspective.
1517722979593076736,JackedTrades,Sat Apr 23 04:32:10 +0000 2022,-79.2725695,43.629311,@WholeMarsBlog @elonmusk Lol! Did he say something recently?
1517722979869863936,SunnyBeSilly,Sat Apr 23 04:32:10 +0000 2022,-97.432425,27.737151,I can’t remember the difference between flora and fauna
1517722980243152896,starshiptroopr,Sat Apr 23 04:32:11 +0000 2022,-80.134986,26.3739755,@donja1234 @scb1932 @OccupyDemocrats Just looking at here creeps me out. Reminds of when director wants you to see… https://t.co/Vio8YnTQgX
1517722980348014593,ArWheelz,Sat Apr 23 04:32:11 +0000 2022,-100.0768885,31.1688935,@4_bandre @mouthy_mom_ Don't pay! Don't offer Commitment.  Don't appease their hunger for attention.
1517722982864633856,VivaLaDevy,Sat Apr 23 04:32:11 +0000 2022,-86.611411,34.7060265,"@IM_LIT I’m psychic, I know everything"
1517722984181600257,padillajeremy85,Sat Apr 23 04:32:12 +0000 2022,-76.62048200000001,39.284712999999996,@Ky_Kiske2 Hey ky
1517722986165514242,AnsellMacey,Sat Apr 23 04:32:12 +0000 2022,-82.405338,32.219141,My friend done got drunk of 5 drinks
1517722985934770176,BbwSlayher,Sat Apr 23 04:32:12 +0000 2022,-74.066663,40.7180015,@such_a_vibee Lol chill https://t.co/mUKwv0YTfo
1517722986463305729,clarkecrew1,Sat Apr 23 04:32:12 +0000 2022,-82.6694675,40.365159500000004,@tedcruz MAGA an acronym for what?
1517722986672889857,_elizaxo,Sat Apr 23 04:32:12 +0000 2022,-118.1567105,33.809171500000005,Someone come take me out for a drink
1517722987147022337,the_art_0f_war,Sat Apr 23 04:32:12 +0000 2022,-83.804475,27.698681999999998,@RayJack97010720 Lol I just want to work yesterday. Today I went to work huh I must really respect my job
1517722987117559808,WheresDJ,Sat Apr 23 04:32:12 +0000 2022,-92.43083899999999,35.0731115,"I be never had a place by myself, I’ve always had a roommate… 🤔"
1517722986958114816,texmrsport,Sat Apr 23 04:32:12 +0000 2022,-121.8737305,37.331159,Mine would have been 8 Track and it would be Freddy Fender. https://t.co/wLAasZ7NsM
1517722987398455298,vabaddie97,Sat Apr 23 04:32:12 +0000 2022,-118.4119065,34.0207895,@kierracherise_ @DrewAfualo We just be chilling in the cut either smoking or vibing fr fr
1517722988963000325,o_eisenhauer,Sat Apr 23 04:32:13 +0000 2022,-110.9155735,32.1893905,Tied at 6 at the end of nine in Tucson. Headed to extras!
1517722988623409152,spamcoochies,Sat Apr 23 04:32:13 +0000 2022,-73.993982,40.753343,look at her… https://t.co/8SOC5Wiyqy
1517722989395013632,tenankius,Sat Apr 23 04:32:13 +0000 2022,-115.133373,36.24912449999999,MY SURGERY IS GONNA TAKE 15 MINUTES????? 15 MINUTES BRUH
1517722989571321858,wrightontheleft,Sat Apr 23 04:32:13 +0000 2022,-89.5694915,44.900818,Watching Ted Lasso for the first time with the wife. She suggested we should be Ted and Rebecca for Halloween this… https://t.co/sMjX5t7pul
1517722989113921536,AuteliGG,Sat Apr 23 04:32:13 +0000 2022,-117.874032,33.617638,update; bought a camera https://t.co/04rOfS0dW7
